hour, t(sec), watts, vars,source, P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), |V|1 (volts), |V|2 (volts), |V|3 (volts), |I|1 (amps), |I|2 (amps), |I|3 (amps), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0,0.0,51.1388,-31.5164,ieee37_Mon_l18_losses_1.csv,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,,,ieee37_Mon_l18_power_1.csv,29.073,44.8403,5.85783e-10,-0.0172773,55.3773,-5.13728,,,,,,,,,,,,,,,,,,
0,0.0,,,ieee37_Mon_l18_seqmag_1.csv,,,,,,,0.213806,2687.8,87.2564,4.87919e-07,11.8471,11.85,,,,,,,,,,,,
0,0.0,,,ieee37_Mon_l18_voltage_1.csv,,,,,,,,,,,,,2604.38,-4.68533,2751.52,-123.964,2709.62,112.981,20.5195,-61.7272,0.00627919,-33.9637,20.5251,118.281
0,0.0,50.8313,-31.376,ieee37_Mon_l21_losses_1.csv,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,,,ieee37_Mon_l21_power_1.csv,28.7879,44.536,5.46492e-10,-0.0171955,55.1795,-5.05999,,,,,,,,,,,,,,,,,,
0,0.0,,,ieee37_Mon_l21_seqmag_1.csv,,,,,,,0.320441,2680.89,91.7547,7.31272e-07,11.8114,11.8144,,,,,,,,,,,,
0,0.0,,,ieee37_Mon_l21_voltage_1.csv,,,,,,,,,,,,,2592.18,-4.77072,2745.0,-123.864,2707.83,112.877,20.4577,-61.8922,0.0062643,-33.864,20.4633,118.116
0,0.0,114.65,-97.5893,ieee37_Mon_l23_losses_1.csv,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,,,ieee37_Mon_l23_power_1.csv,50.9266,-5.12474,30.9351,43.541,7.64685e-07,-0.0445786,,,,,,,,,,,,,,,,,,
0,0.0,,,ieee37_Mon_l23_seqmag_1.csv,,,,,,,0.360311,2730.37,68.5313,2.05179e-06,11.0746,11.0807,,,,,,,,,,,,
0,0.0,,,ieee37_Mon_l23_voltage_1.csv,,,,,,,,,,,,,2666.58,-4.50202,2784.82,-124.167,2740.99,113.549,19.1946,1.2443,19.1795,-178.774,0.0162637,-156.452
0,0.0,28437.7,26874.6,ieee37_Mon_l35_losses_1.csv,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,,,ieee37_Mon_l35_power_1.csv,844.201,559.456,692.599,380.1,961.53,294.786,,,,,,,,,,,,,,,,,,
0,0.0,,,ieee37_Mon_l35_seqmag_1.csv,,,,,,,0.84166,2797.03,57.8846,0.000100821,333.012,55.3867,,,,,,,,,,,,
0,0.0,,,ieee37_Mon_l35_voltage_1.csv,,,,,,,,,,,,,2740.71,-4.30425,2839.53,-123.809,2811.74,114.254,369.522,-37.8369,278.231,-152.567,357.681,97.2096
0,0.0,277.872,28.3157,ieee37_Mon_l5_losses_1.csv,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,,,ieee37_Mon_l5_power_1.csv,107.252,39.3312,73.5275,67.5278,70.688,18.0582,,,,,,,,,,,,,,,,,,
0,0.0,,,ieee37_Mon_l5_seqmag_1.csv,,,,,,,0.429442,2724.82,74.8989,4.77577e-06,34.5205,9.56646,,,,,,,,,,,,
0,0.0,,,ieee37_Mon_l5_voltage_1.csv,,,,,,,,,,,,,2653.87,-4.65445,2781.98,-124.146,2740.13,113.305,43.0452,-24.7933,35.8849,-166.71,26.6258,98.9748
