hour, t(sec), watts, vars,source, P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), |V|1 (volts), |V|2 (volts), |V|3 (volts), |I|1 (amps), |I|2 (amps), |I|3 (amps), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0,0.0,51.3354,-79.7725,ieee37_Mon_l18_losses_fault_1.csv,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,,,ieee37_Mon_l18_power_fault_1.csv,-0.470702,-0.669988,2.73403e-09,-0.0497575,85.2299,40.5027,,,,,,,,,,,,,,,,,,
0,0.0,,,ieee37_Mon_l18_seqmag_fault_1.csv,,,,,,,2652.58,2692.09,83.7562,0.00605341,11.8699,11.8728,,,,,,,,,,,,
0,0.0,,,ieee37_Mon_l18_voltage_fault_1.csv,,,,,,,,,,,,,39.8175,173.332,4669.43,-153.682,4589.82,143.866,20.564,-61.5781,0.010656,-63.6816,20.5594,118.448
0,0.0,51.0328,-79.5922,ieee37_Mon_l21_losses_fault_1.csv,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,,,ieee37_Mon_l21_power_fault_1.csv,-0.540602,-0.875439,2.8101e-09,-0.0495657,84.8246,40.4846,,,,,,,,,,,,,,,,,,
0,0.0,,,ieee37_Mon_l21_seqmag_fault_1.csv,,,,,,,2651.28,2685.46,87.8769,0.00605042,11.8348,11.8377,,,,,,,,,,,,
0,0.0,,,ieee37_Mon_l21_voltage_fault_1.csv,,,,,,,,,,,,,50.1823,176.579,4660.42,-153.669,4585.19,143.816,20.5033,-61.7245,0.0106355,-63.6691,20.4987,118.302
0,0.0,114.858,-223.65,ieee37_Mon_l23_losses_fault_1.csv,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,,,ieee37_Mon_l23_power_fault_1.csv,0.187937,0.0363777,81.822,38.4062,1.75017e-06,-0.127391,,,,,,,,,,,,,,,,,,
0,0.0,,,ieee37_Mon_l23_seqmag_fault_1.csv,,,,,,,2660.25,2732.0,67.3581,0.0157843,11.0846,11.0908,,,,,,,,,,,,
0,0.0,,,ieee37_Mon_l23_voltage_fault_1.csv,,,,,,,,,,,,,9.96472,12.1394,4708.05,-153.595,4633.58,143.997,19.2104,1.18449,19.1985,-178.74,0.027493,-126.003
0,0.0,27634.7,24863.9,ieee37_Mon_l35_losses_fault_1.csv,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,,,ieee37_Mon_l35_power_fault_1.csv,21.5859,19.5899,1322.14,-15.083,1154.47,1222.46,,,,,,,,,,,,,,,,,,
0,0.0,,,ieee37_Mon_l35_seqmag_fault_1.csv,,,,,,,2661.84,2797.97,57.1499,5.45077,328.102,54.6148,,,,,,,,,,,,
0,0.0,,,ieee37_Mon_l35_voltage_fault_1.csv,,,,,,,,,,,,,81.762,2.90797,4747.55,-153.091,4712.33,143.925,356.522,-39.3168,278.507,-152.438,356.815,97.2869
0,0.0,277.529,-29.9613,ieee37_Mon_l5_losses_fault_1.csv,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,,,ieee37_Mon_l5_power_fault_1.csv,0.0102349,-0.108345,164.364,38.1495,87.1561,86.6758,,,,,,,,,,,,,,,,,,
0,0.0,,,ieee37_Mon_l5_seqmag_fault_1.csv,,,,,,,2658.76,2726.97,73.3236,0.0323946,34.4961,9.57116,,,,,,,,,,,,
0,0.0,,,ieee37_Mon_l5_voltage_fault_1.csv,,,,,,,,,,,,,2.52859,-109.419,4704.31,-153.596,4626.21,143.875,43.0385,-24.8157,35.8678,-166.663,26.57,99.0334
